,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
184,184,185,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy,Recruiting,No Results Available,SARS-CoV-2,,"Guido Beldi, Bern, Switzerland",https://ClinicalTrials.gov/show/NCT04333862,Inclusion Criteria:,"Healthcare workers of the Department for Visceral Surgery and Medicine
Patients of the Department for Visceral Surgery and Medicine
Written informed consent",Exclusion Criteria:,"No informed consent
Patients with known COVID-19 infection before hospitalization in the investigators' department"
185,185,186,The COVID-19 ICU PRAYER Study,Recruiting,No Results Available,Coronavirus Infection,Behavioral: prayer,"Research Medical Center, Kansas City, Missouri, United States",https://ClinicalTrials.gov/show/NCT04361838,Inclusion Criteria:,"Male or female greater than 18 years of age
Confirmed positive for COVID-19
Patient admitted to Intensive Care Unit",Exclusion Criteria:,Patients admitted to ICU for diagnosis that is not COVID-19 positive.
186,186,187,Coronavirus Disease 2019 (COVID-19) Study of Hospitalized Patients in Hong Kong,Recruiting,No Results Available,Coronavirus Infections,Other: No intervention,"Prince of Wales Hospital, Sha Tin, Hong Kong",https://ClinicalTrials.gov/show/NCT04325919,Inclusion Criteria:,"Case are adults age ≥ 18 years old admitted to hospital with laboratory confirmed COVID-19
Controls are patients admitted for community-acquired pneumonia",Exclusion Criteria:,Patients who refuse to consent for study
188,188,189,COVID-19 Among Healthcare Workers in Belgian Hospitals,Recruiting,No Results Available,SARS-CoV-2|COVID-19,,"Sciensano, Brussels, Belgium",https://ClinicalTrials.gov/show/NCT04373889,Inclusion Criteria:,"Any permanent medical and paramedical staff working in the hospital who provided a signed informed consent to participate in the study.
Participants must have a social security insurance (mandatory in Belgium).
This study only include adults.",Exclusion Criteria:,"Staff hired on a temporary (interim) basis will be excluded as follow-up over time will be compromised.
Administrative staff or technical staff will also be excluded.
HCW who were not active during the inclusion period will automatically be excluded."
189,189,190,Compassionate Use Open-Label Anti-CD14 Treatment in Patients With SARS-CoV-2 (COVID-19),Available,No Results Available,"COVID|ARDS, Human|Ards|Sars-CoV2","Biological: IC14, a monoclonal antibody against CD14","IRCCS San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milano, Italy",https://ClinicalTrials.gov/show/NCT04346277,Inclusion Criteria:,"Signed informed consent form and able to give informed consent
Age 18-70 years
Presence of a SARS-CoV-2 infection documented by nasopharyngeal swab positive by RT-PCR testing or history of positive test
Radiologic findings compatible with diagnosis of SARS-CoV-2 pulmonary infection

Hypoxemia as defined by any of the following:

SpO2 ≤92% on room air
Requirement for >2L O2 per standard nasal cannula
PaO2/FiO2<300 if on high-flow nasal cannula


SpO2 ≤92% on room air
Requirement for >2L O2 per standard nasal cannula
PaO2/FiO2<300 if on high-flow nasal cannula
Women of childbearing potential must have a negative pregnancy test",Exclusion Criteria:,
190,190,191,Low Dose Radiotherapy in COVID-19 Pneumonia,Recruiting,No Results Available,COVID|SARS (Severe Acute Respiratory Syndrome),Radiation: Low Dose Radiotherapy,"Imam Hossein Hospital, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04390412,Inclusion Criteria:,"Confirmed COVID-19 diagnosis ( PCR or serologic)
Presence of pulmonary involvement ( defined by P/F ratio or NIV need)
Less than 3 days since the onset of ARDS
Age > 60 years
↑ IL-6 ( if available)
↑ CRP",Exclusion Criteria:,"Lack of informed consent
Inability to transfer to the radiation unit
Hemodynamic instability
Septic shock and organ dysfunction
Severe ARDS P/F ratio ≤ 100 mmHg
History of cardiac failure
Contraindications to radiation"
191,191,192,Blood Collection Study From COVID-19 Convalescents to Identify Immunogenic Viral Epitopes,Recruiting,No Results Available,Identify the Viral Epitopes of Memory CD8 T Cells From Individuals That Have Recovered From SARS-CoV-2 Infection|Determine Which SARS-CoV-2 Proteins Are Frequently Recognized by T Cells in Patients With Varying HLA Types,,"Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Atlantic Health System, Morristown, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04397900,Inclusion Criteria:,"Laboratory-confirmed diagnosis of COVID-19 performed by The Centers for Disease Control and Prevention (CDC) at a hospital using an FDA Emergency Use Authorized molecular assay for COVID-19
Age =>18 years at time of diagnosis of COVID-19
Time since discontinuation of isolation of =>14 day following CDC criteria
Ability to understand and willingness to sign an informed consent document
No anti-pyretic use for =>17 days
Ability to undergo blood draw for 4 tubes of blood containing approximately 7.5 mL of blood each
Ability to travel to an assigned lab for blood draw
Ability to waive any claim to blood samples or data obtained for this study's purpose",Exclusion Criteria:,"Any serious medical or psychiatric disorder that would interfere with the subject's safety
Dementia, altered mental status, or any psychiatric condition that would prohibit the understanding or rendering of informed consent
Known blood disorder that would increase the risk of infection or bleeding from a simple phlebotomy"
192,192,193,"Understanding Immunity to SARS-CoV-2, the Coronavirus Causing COVID-19",Recruiting,No Results Available,Coronavirus,Other: There is no intervention,"Stanford University, Hospital, and Clinics, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT04373148,Inclusion Criteria:,"Adults (18 years and older) with confirmed COVID-19 (RT-PCR diagnosis).
Adults (18 years and older) without COVID-19 for controls (who test negative for COVID-19 but may have viral symptoms)",Exclusion Criteria:,Patients with special risks attendant to venipuncture will be excluded.
193,193,194,Study of Oral Ibrutinib Capsules to Assess Respiratory Failure in Adult Participants With Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) and Pulmonary Injury,Recruiting,No Results Available,CoronaVirus Induced Disease-2019 (COVID-19),Drug: Ibrutinib|Drug: Placebo,"Stanford Univ School Medicine /ID# 221954, Stanford, California, United States|Medstar Health Research Institute /ID# 221886, Washington, District of Columbia, United States|GW Medical Faculty Associates /ID# 222023, Washington, District of Columbia, United States|Midway Immunology and Research /ID# 222004, Fort Pierce, Florida, United States|Brigham & Women's Hospital /ID# 221847, Boston, Massachusetts, United States|Intermountain Healthcare /ID# 221955, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04375397,Inclusion Criteria:,"Requires hospitalization for COVID-19 infection.
Has Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV)-2 infection confirmed by polymerase chain reaction (PCR) test before study entry.
Requires supplemental oxygen for pulmonary distress related to COVID-19 infection, and has been on supplemental oxygen for no more than 48 hours, and on no more than 6 Litres/minute, and on breathing room air have oxygen saturation levels of 94% or less..
Adequate hematologic, hepatic and renal function as described in the protocol.
Must be within 10 days of confirmed diagnosis of COVID-19.",Exclusion Criteria:,"Participant is on mechanical ventilation.
Unable to take study medication.
Known bleeding disorders.
Major surgery within 4 weeks of study entry.
Participants in whom surgery is anticipated to be necessary within 72 hours.
History of stroke or bleeding around or within brain within 6 months prior to enrollment.
Known history of human immunodeficiency virus (HIV) or active with hepatitis C virus (HCV) or hepatitis B virus (HBV).
Currently active, clinically significant cardiovascular disease.
Asymptomatic arrythmias and or history of ejection fraction < 40% on an echo.
Participants receiving a strong cytochrome P450 (CYP) 3A4 inhibitor with the exception of those receiving anti-fungal therapy/prophylaxis.
Unwilling or unable to participate in all required study evaluations and procedures.
Vaccinated with a live, attenuated vaccine within 4 weeks.
Uncontrolled high blood pressure.
Participants with cancer.
Co-enrolled in another interventional trial."
195,195,196,Performance of 3 Sampling Methods for the Detection of SARS-CoV-2 (COVID-19) With Real-time Reverse Transcriptase PCR,Not yet recruiting,No Results Available,Covid-19|SARS-CoV-2|Diagnosis|Polymerase Chain Reaction,Other: samling of oropharynx and nasopharynx,"Jessa Hospital, Hasselt, Belgium",https://ClinicalTrials.gov/show/NCT04361448,Inclusion Criteria:,health care workers with symptoms suspicious for Covid-19,Exclusion Criteria:,none
197,197,198,Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (US Trial),Not yet recruiting,No Results Available,"Corona Virus Infection|COVID-19|SARS-CoV 2|Nitric Oxide|Respiratory Disease|Pneumonia, Viral|Inhaled Nitric Oxide",Device: Nitric Oxide delivered via LungFit™ system,"Baptist Health Center for Clinical Research, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT04397692,Inclusion Criteria:,"Enrollment within 24 hours of hospital admission of patients diagnosed with COVID-19
Patients with oxygen saturation less than 93 % on room air
Shortness of breath, with symptom onset within the previous 8 days.
Female subjects of childbearing potential should take adequate measures to avoid pregnancy
Signed informed consent by the subject",Exclusion Criteria:,"Patients who are treated with or require high flow nasal cannula, CPAP, intubation, mechanical ventilation, or tracheostomy
Diagnosis of acute respiratory distress syndrome
Subjects diagnosed with immunodeficiency, with history of congestive or unstable heart disease, left ventricular dysfunction or myocardial damage, severe pulmonary hypertension and/or unstable hypertension
Patients receiving drugs that have contraindications with NO.
Breastfeeding or pregnancy as evidenced by a positive pregnancy test.
Patients with active pulmonary malignancy or lung transplant
Patients with a history of frequent epistaxis or significant hemoptysis"
