"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
31,"NCT04375046","Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP Could be Promising COVID-19 Infection- and Lung Injury Preventing Drug Better Than Recombinant Human ACE2","Bacterial ACE2","Not yet recruiting","No Results Available","COVID-19","Drug: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2)","Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-α (TNF-α) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events","Kafrelsheikh University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","proposed by Mahmoud kazazzaz","August 2020","September 2020","October 2020","May 5, 2020",,"May 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04375046"
32,"NCT04379297","COvid-19 National Survey for Assessing VIral Spread by Nonaffected CarriErs (CON-VINCE)","CON-VINCE","Active, not recruiting","No Results Available","COVID19",,"Prevalence and dynamics of the SARS-COV 2 infection in Luxemburg|Collection of samples for research|Psycho-social evaluation","Luxembourg Institute of Health|Luxembourg National Research Funds|University of Luxembourg/ Luxembourg Centre for Systems Biomedicine|Centre Hospitalier du Luxembourg|TNS-Ilres|Laboratoires Réunis|BioneXt Lab|Ketterthill|Laboratoire National de santé","All","18 Years and older   (Adult, Older Adult)",,"1800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CNER 202004/01|831x6ce0d|FNR/CON-VINCE","April 10, 2020","May 28, 2021","December 31, 2021","May 7, 2020",,"May 7, 2020","Luxembourg Institute of Health, Strassen, Luxembourg",,"https://ClinicalTrials.gov/show/NCT04379297"
33,"NCT04291053","The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Huaier Granule","Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function","Tongji Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TJ-IRB20200205","April 1, 2020","August 1, 2020","September 1, 2020","March 2, 2020",,"March 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04291053"
34,"NCT04365725","Multicenter, Retrospective Study of the Effects of Remdesivir in the Treatment of Severe Covid-19 Infections","REMDECO-19","Recruiting","No Results Available","COVID-19","Drug: Remdesivir","Clinical course on Day 15.|Clinical course on Day 3.|Clinical course on Day 8|Clinical course on Day 11.|Clinical course on Day 29.|Duration of treatment|Sepsis-related Organ Failure Assessment score|Duration without mechanical ventilation|Mortality|cumulative incidence of grade 3 and 4 adverse events (AEs).","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","APHP200522","May 5, 2020","June 2020","June 2020","April 28, 2020",,"May 13, 2020","Hôpital Cochin, Paris, France",,"https://ClinicalTrials.gov/show/NCT04365725"
35,"NCT04342637","COVID-19 Endoscopy Survey","COVID-19 Endo","Completed","No Results Available","COVID-19","Other: Practice details","Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number","Al-Azhar University","All","30 Years to 70 Years   (Adult, Older Adult)",,"163","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","WES-2","April 10, 2020","April 25, 2020","May 1, 2020","April 13, 2020",,"May 20, 2020","Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04342637"
36,"NCT04331509","COVID-19 Symptom Tracker",,"Recruiting","No Results Available","COVID-19","Other: No Intervention","Physical health symptoms|Lack of physical health symptoms|Fever","King's College London|Zoe Global Limited|Massachusetts General Hospital|Harvard School of Public Health|Stanford University","All","18 Years and older   (Adult, Older Adult)",,"10000000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 Symptom tracker","March 23, 2020","March 23, 2022","March 23, 2022","April 2, 2020",,"April 7, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04331509"
37,"NCT04343976","Pegylated Interferon Lambda Treatment for COVID-19",,"Not yet recruiting","No Results Available","COVID-19|COVID","Drug: Pegylated interferon lambda","Undetectable COVID PCR at day 7|Undetectable COVID PCR at day 3, 10 and 14|Percentage of subjects on Lambda vs standard of care with symptomatic improvement|Percentage of subjects on Lambda vs standard of care with improved clinical outcomes","Raymond Chung|Eiger BioPharmaceuticals|Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020P001083","May 15, 2020","October 1, 2020","December 31, 2021","April 14, 2020",,"April 24, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04343976"
38,"NCT04386668","Let It Out (LIO) and COVID19: Testing an Online Emotional Disclosure-based Intervention During the COVID19 Pandemic","LIO-C","Not yet recruiting","No Results Available","COVID19","Other: Let It Out (LIO)-C|Other: Neutral writing control","Kessler Psychological Distress Scale (K10)|Perceived Stress Scale (PSS-10)|Pittsburgh Sleep Quality Index (PSQI)|Self-compassion scale (SCS)|UCLA Loneliness Scale (UCLA LS)|Uptake of existing mental health services (MHS)|Mood and meaning|Acceptability","University College, London","All","18 Years and older   (Adult, Older Adult)","Not Applicable","286","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Other","15281/003","May 2020","September 2020","November 2020","May 13, 2020",,"May 15, 2020",,,"https://ClinicalTrials.gov/show/NCT04386668"
39,"NCT04347993","A Prospective ""Universal"" Observational Database for COVID-19",,"Recruiting","No Results Available","COVID-19",,"Need for hospitalization|Duration of hospitalization|Need for ICU/Ventilator Support|Duration of ICU/Ventilator Support|Overall Survival","Hackensack Meridian Health","All","Child, Adult, Older Adult",,"5000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Pro2020-0342","March 27, 2020","April 2021","April 2021","April 15, 2020",,"April 24, 2020","Hackensack Meridian Health - John Theurer Cancer Center, Hackensack, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04347993"
40,"NCT04396067","Combination With Alvelestat and Isotretinoin May Enhances Neutralizing Antibodies in COVID -19 Infected Patients Better Than COVID-19 Inactivated Vaccines","Antibodies","Not yet recruiting","No Results Available","COVID -19","Drug: Alvelestat (MPH996) Plus Aerosolized 13 cis retinoic acid|Other: Placebo","Within-individual % change in plasma desmosine/isodesmosine|Numbers and % of subjects who experience at least 1 treatment-emergent adverse event|lung injury score|Serum levels of CRP, ESR ,IL-1,IL-6,TNF and Type I interferon|Serum level of COVID19 RNA|d-dimers|Absolute lymphocyte counts|The immune correlates of protection against future exposure to SARS-CoV-2|Immunological profile|Total duration of mechanical ventilation, ventilatory weaning and curarisation|Occurrence of adverse event related to immunoglobulins|IgG, IgA and IgM against COVID-19|ACE2 expression in patients with COVID-19 infection|All cause mortality rate [|Ventilation free days|ICU free days","Kafrelsheikh University|Damietta University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","360","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID-19","June 2020","September 2020","November 2020","May 20, 2020",,"May 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04396067"
41,"NCT04345991","Efficacy of Convalescent Plasma to Treat COVID-19 Patients, a Nested Trial in the CORIMUNO-19 Cohort","CORIPLASM","Recruiting","No Results Available","Covid19","Drug: Transfusion of COVID-19 convalescent plasma","Survival without needs of ventilator utilization or use of immunomodulatory drugs|WHO progression scale ≥6|Severe adverse events|WHO progression scale|Overall survival|Time from randomization to discharge|Time to oxygen supply independency|Survival without needs of ventilator utilization|Survival without use of immunomodulatory drugs","Assistance Publique - Hôpitaux de Paris|Etablissement Français du Sang","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200375-10|2020-001246-18","April 15, 2020","May 15, 2020","June 1, 2020","April 15, 2020",,"May 20, 2020","SMIT, Saint Antoine hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT04345991"
42,"NCT04355871","Characteristics and Outcomes of Hospitalized Patients With COVID-19 in Spain","COVID19@Spain","Completed","No Results Available","Covid19",,"Overall mortality|Mechanical ventilation","Fundacion SEIMC-GESIDA","All","Child, Adult, Older Adult",,"4035","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","COVID-19/SEIMC-FSG","March 18, 2020","April 15, 2020","April 17, 2020","April 21, 2020",,"May 11, 2020","Comp. Hosp. Univ. A Coruña, A Coruña, Spain|H. Quiron A Coruña, A Coruña, Spain|H. de Alcaniz, Alcañiz, Spain|H. Gral Univ. de Alicante, Alicante, Spain|H. Univ. San Juan de Alicante, Alicante, Spain|H. Univ. de la Ribera, Alzira, Spain|H. Santos Reyes, Aranda De Duero, Spain|H. Dr. Jose Molina Orosa, Arrecife, Spain|Consorcio Sanitari Integral (CAIDM), Barcelona, Spain|H. Clinic, Barcelona, Spain|H. del Mar, Barcelona, Spain|H. Parc Sanitari Sant Joan de Deu, Barcelona, Spain|H. Santa Creu y Sant Pau, Barcelona, Spain|H. Univ. de Bellvitge, Barcelona, Spain|H. Vall d'Hebron, Barcelona, Spain|Hospital CIMA-Sanitas, Barcelona, Spain|SCIAS H. de Barcelona, Barcelona, Spain|H. Clinica de Benidorm, Benidorm, Spain|H. de Cruces, Bilbao, Spain|H. San Eloy_Barakaldo, Bilbao, Spain|H. Univ. de Basurto, Bilbao, Spain|H. Urduliz-Alfredo Espinosa, Bilbao, Spain|H. Gral de La Palma, Breña Alta, Spain|H. de Puerto Real, Cadiz, Spain|H. de Calahorra, Calahorra, Spain|H. Sant Jaume de Calella, Calella, Spain|H. Univ Santa Lucia, Cartagena, Spain|H. Univ de Henares, Coslada, Spain|Hospital Marina Salud de Dénia, Denia, Spain|Hospital Don Benito-Villanueva de la Serena, Don Benito, Spain|H. Gral Univ. de Elche, Elche, Spain|H. Univ. del Vinalopo, Elche, Spain|Comp. Hospt. Univ. de Ferrol, Ferrol, Spain|H. Francesc de Borja, Gandia, Spain|H. de Figueres, Gerona, Spain|H. Comarcal de Blanes, Girona, Spain|H. Josep Trueta, Girona, Spain|H. Clinico San Cecilio, Granada, Spain|Hospital HLA Inmaculada, Granada, Spain|H. de Guadalajara, Guadalajara, Spain|H. de Guadarrama, Guadarrama, Spain|H. Juan Ramón Jiménez, Huelva, Spain|H. Riotinto, Huelva, Spain|H. Can Misses, Ibiza, Spain|H. Universitario de Jaén, Jaén, Spain|H. Univ. de Jerez de la Frontera, Jerez De La Frontera, Spain|H. Univ Insular de Gran Canaria, Las Palmas De Gran Canaria, Spain|H. Universitario de Gran Canaria Dr. Negrin, Las Palmas De Gran Canaria, Spain|H. Univ. Severo Ochoa, Leganés, Spain|H. San Pedro, Logroño, Spain|H. Univ. Menez Rafael Mendez, Lorca, Spain|H. Lucus Augusti, Lugo, Spain|H. 12 de Octubre, Madrid, Spain|H. Clinica Univ. de Navarra_ Campus Madrid, Madrid, Spain|H. Clinico San Carlos, Madrid, Spain|H. Fundacion Jiménez Díaz, Madrid, Spain|H. Gral de la Defensa Gomez Ulla, Madrid, Spain|H. HLA Univ. Moncloa, Madrid, Spain|H. HM Sanchinarro, Madrid, Spain|H. Puerta de Hierro, Madrid, Spain|H. Univ HM Madrid, Madrid, Spain|H. Univ Principe de Asturias, Madrid, Spain|H. Univ. de Alcorcón, Madrid, Spain|H. Univ. de Getafe, Madrid, Spain|H. Univ. de Móstoles, Madrid, Spain|H. Univ. Gregorio Marañon, Madrid, Spain|H. Univ. HM Monteprincipe, Madrid, Spain|H. UNiv. HM Puerta del Sur, Madrid, Spain|H. Univ. Infanta Leonor, Madrid, Spain|H. Univ. La Paz, Madrid, Spain|H. Univ. La Princesa, Madrid, Spain|H. Univ. Ramón y Cajal, Madrid, Spain|H. Univ. Rey Juan Carlos, Madrid, Spain|H. Costa del Sol, Marbella, Spain|H. de Mataro, Mataró, Spain|H. de Melilla, Melilla, Spain|H. de Mendaro, Mendaro, Spain|Hospital Alto Deba, Mondragón, Spain|H. Virgen de la Arrixaca, Murcia, Spain|H. Marbella Internacional, Málaga, Spain|H. Virgen de la Victoria, Málaga, Spain|H. Vega Baja, Orihuela, Spain|H. Univ. Central de Asturias, Oviedo, Spain|H. de Palamos, Palamós, Spain|H. Son Espases, Palma De Mallorca, Spain|H. Son Llatzer, Palma De Mallorca, Spain|H. Clinica Univ. Navarra, Pamplona, Spain|H. Virgen del Puerto, Plasencia, Spain|H. El Bierzo, Ponferrada, Spain|H. Do Salnes, Pontevedra, Spain|H. UNiv. Los Arcos del Mar Menor, Pozo Aledo, Spain|H. Santa Barbara, Puertollano, Spain|H. Parc Tauli, Sabadell, Spain|Complejo Asist. Univ. de Salamanca, Salamanca, Spain|H. Infanta Sofia, San Sebastián De Los Reyes, Spain|H. de Donostia, San Sebastián, Spain|H. de l'Esperit Sant, Santa Coloma De Gramenet, Spain|H. Univ. Marques de Valdecilla, Santander, Spain|H. Clinico Univ. Santiago de Compostela, Santiago De Compostela, Spain|H. Univ de Valme, Sevilla, Spain|H. Univ. Virgen del Rocio, Sevilla, Spain|H. Univ. Virgen Macarena, Sevilla, Spain|H. Virgen Macarena, Sevilla, Spain|H. Univ Joan XXIII, Tarragona, Spain|H. U. de Canarias, Tenerife, Spain|H. Univ. Nuestra Sra. de la Candelaria, Tenerife, Spain|H. Mutua de Terrasa, Terrassa, Spain|Complejo Hospitalario Virgen de la Salud, Toledo, Spain|H. Univ. HM Torrelodones, Torrelodones, Spain|H. Quiron Salud Torrevieja, Torrevieja, Spain|H. Virgen de la Cinta, Tortosa, Spain|H. Reina Sofia de Tudela, Tudela, Spain|H. Arnau de Vilanova-Lliria, Valencia, Spain|H. Clinico Univ. de Valencia, Valencia, Spain|H. de Sagunto, Valencia, Spain|H. Univ. y Polit. La Fe, Valencia, Spain|H. Clin. Univ. de Valladolid, Valladolid, Spain|H. Rio Hortega, Valladolid, Spain|H. Alvaro Cunqueiro, Vigo, Spain|H. de Viladecans, Viladecans, Spain|H. de la Marina Baixa, Villajoyosa, Spain|Hospital de la Plana, Villareal, Spain|H. Univ de Alava, Vitoria, Spain|H. Virgen de la Concha, Zamora, Spain|H. Lozano Blesa, Zaragoza, Spain|H. Miguel Servet, Zaragoza, Spain|H. Ntra. Sra. de Gracia, Zaragoza, Spain|Complejo Asistencial de Avila, Ávila, Spain",,"https://ClinicalTrials.gov/show/NCT04355871"
