"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
266,"Tocilizumab for the Treatment of Cytokine Release Syndrome in Patients With COVID-19 (SARS-CoV-2 Infection)","Recruiting","No Results Available","Cerebrovascular Accident|Chronic Obstructive Pulmonary Disease|Chronic Renal Failure|Coronary Artery Disease|Diabetes Mellitus|Malignant Neoplasm|SARS Coronavirus 2 Infection","Other: Best Practice|Biological: Tocilizumab","Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04361552"
267,"Study of Standard of Care Plus Intravenous Immunoglobulin (IVIG) Compared to Standard of Care Alone in the Treatment of COVID-19 Infection","Recruiting","No Results Available","Sars-CoV2","Drug: Octagam","Sharp Grossmont Hospital, La Mesa, California, United States|Sharp Memorial Hospital, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT04411667"
268,"Study of Kinetics and Efficacy of the Immune Response Against COVID-19 Among Hospital Staff","Recruiting","No Results Available","Sars-CoV2","Other: Clinical interview|Biological: Blood collection|Biological: Saliva collection","Hôpital d'Instuction des Armées Percy, Clamart, France","https://ClinicalTrials.gov/show/NCT04408001"
269,"NORMAL HUMAN IMMUNOGLOBULINS (IVIG) IN PATIENTS AGED 75 YEARS AND OVER, COVID-19 WITH SEVERE ACUTE RESPIRATORY FAILURE","Recruiting","No Results Available","Sars-CoV2","Drug: IgIV","Centre Hospitalier de Versailles, Le Chesnay, France","https://ClinicalTrials.gov/show/NCT04403269"
270,"Rapid Detection of COVID-19 by Portable and Connected Biosensor","Not yet recruiting","No Results Available","Sars-CoV2","Diagnostic Test: COVID-19 RT-PCR|Diagnostic Test: Biosensor",,"https://ClinicalTrials.gov/show/NCT04367142"
271,"Clinical Trial to Assess the Safety and Efficacy of Intravenous Administration of Allogeneic Adult Mesenchymal Stem Cells of Expanded Adipose Tissue in Patients With Severe Pneumonia Due to COVID-19","Recruiting","No Results Available","Sars-CoV2","Drug: ALLOGENEIC AND EXPANDED ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS","Hospital Universitario de Jerez de la Frontera, Jerez de la Frontera, Cádiz, Spain|Hospital Reina Sofía, Córdoba, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Hospital Unversitario Virgen del Rocío, Sevilla, Spain|Hospital Nuestra Señora de Valme, Sevilla, Spain","https://ClinicalTrials.gov/show/NCT04366323"
272,"Tocilizumab Treatment in Patients With COVID-19","Recruiting","No Results Available","Sars-CoV2","Drug: Tocilizumab","National Cancer Institute of Mexico, Mexico city, Distrito Federal, Mexico","https://ClinicalTrials.gov/show/NCT04363853"
273,"Rhu-pGSN for Severe Covid-19 Pneumonia","Not yet recruiting","No Results Available","Sars-CoV2","Drug: Recombinant human plasma gelsolin (Rhu-pGSN)|Other: Placebo",,"https://ClinicalTrials.gov/show/NCT04358406"
274,"Safety and Antiviral Activity of BLD-2660 in COVID-19 Hospitalized Subjects","Recruiting","No Results Available","Sars-CoV2","Drug: BLD-2660","Blade Research Site, Irvine, California, United States|Blade Research Site, Los Angeles, California, United States|Blade Reseach Site, San Jose, California, United States|Blade Research Site, Washington, District of Columbia, United States|Blade Research Site, Tampa, Florida, United States|Blade Research Site, Peoria, Illinois, United States|Blade Research Site, Metairie, Louisiana, United States|Blade Research Site, Baltimore, Maryland, United States|Blade Research Site, Detroit, Michigan, United States|Blade Research Site, Saint Louis, Missouri, United States|Blade Research Site, North Las Vegas, Nevada, United States|Blade Research Site, Durham, North Carolina, United States|Blade Research Site, Fayetteville, North Carolina, United States|Blade Research Site, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04334460"
275,"COVID-19 Seroconversion Among Front Line Medical and Paramedical Staff in Emergency, Intensive Care Units and Infectious Disease Departments During the 2020 Epidemic","Recruiting","No Results Available","Sars-CoV2","Other: blood sample","Hopital Pitié Salpetrière, Paris, France","https://ClinicalTrials.gov/show/NCT04304690"
276,"Analysis of the Inflammatory Response and the Development of Humoral and Cellular Immunity in Patients With COVID-19","Recruiting","No Results Available","SARS-CoV-2","Other: Active COVID-19 disease","UMAE Hospital de Especialidades del Centro Médico Nacional Siglo XXI, IMSS., México, Ciudad De México, Mexico","https://ClinicalTrials.gov/show/NCT04423640"
277,"Muscle Mass and Strength as Predictors of Time to Discharge in Patients With COVID-19","Recruiting","No Results Available","SARS-CoV 2",,"Univsersity of Sao Paulo, Sao Paulo, Brazil","https://ClinicalTrials.gov/show/NCT04406233"
278,"Exploring Brain Damages After COVID-19 Infection","Recruiting","No Results Available","SARS-CoV 2","Procedure: Auditory Evoked Potentials (AEP)|Procedure: Blink and Masseter Inhibitory Reflex","CHU de Bordeaux, Bordeaux, France","https://ClinicalTrials.gov/show/NCT04405986"
279,"A Safety, Tolerability and Efficacy of EIDD-2801 to Eliminate Infectious Virus Detection in Persons With COVID-19","Not yet recruiting","No Results Available","SARS-CoV 2","Drug: 200 mg EIDD-2801|Drug: Placebo","University of North Carolina School of Medicine, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04405570"
280,"Clinical Trial to Evaluate the Efficacy of Treatment With Hyperimmune Plasma Obtained From Convalescent Antibodies of COVID-19 Infection","Recruiting","No Results Available","SARS-CoV 2","Biological: Hyperimmune plasma|Drug: Standard of care for SARS-CoV-2 infection","Hospital U. Jerez de la Frontera, Jerez de la Frontera, Cádiz, Spain|Hospital U. Puerto Real, Puerto Real, Cádiz, Spain|Hospital Costa del Sol, Marbella, Málaga, Spain|Hospital U. Torrecárdenas, Almería, Spain|Hospital U. Puerta del Mar, Cádiz, Spain|Hospital U. Virgen de las Nieves, Granada, Spain|Hospital U. San Cecilio, Granada, Spain|Hospital Juan Ramón Jiménez, Huelva, Spain|Hospital Regional U. de Málaga, Málaga, Spain|Hospital U. Virgen de la Victoria, Málaga, Spain|Hospital Unversitario Virgen Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital U. Nuestra Señora de Valme, Sevilla, Spain|Hospital San Juan de Dios, Sevilla, Spain","https://ClinicalTrials.gov/show/NCT04366245"
281,"Efficacy of Tocilizumab on Patients With COVID-19","Not yet recruiting","No Results Available","SARS-CoV 2","Drug: Tocilizumab|Drug: Placebos","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04356937"
282,"Impact of Zinc and Vitamin D3 Supplementation on the Survival of Aged Patients Infected With COVID-19","Not yet recruiting","No Results Available","SARS-CoV 2","Dietary Supplement: Zinc gluconate|Dietary Supplement: 25-OH cholecalciferol",,"https://ClinicalTrials.gov/show/NCT04351490"
283,"Observational Study of Follow-up of Hospitalized Patients Diagnosed With COVID-19 to Evaluate the Effectiveness of the Drug Treatment Used to Treat This Disease. COVID-19 Registry","Recruiting","No Results Available","SARS-CoV-2","Drug: Patients with the treatment agains COVID19","Hospital Universitario Marqués de Valdecilla, Santander, Cantabria, Spain","https://ClinicalTrials.gov/show/NCT04347278"
284,"Prevention of Coronavirus Disease (COVID-19) Outbreaks With Nitazoxanide","Recruiting","No Results Available","Coronavirus Infection","Drug: Nitazoxanide 500Mg Oral Tablet","Materno-Perinatal Hospital ""Mónica Pretelini"", Toluca, Mexico","https://ClinicalTrials.gov/show/NCT04406246"
285,"Observational Study in Diagnosed Patients COVID-19, Supported on an Outpatient Basis. (COVID-PSL)","Not yet recruiting","No Results Available","Coronavirus Infection",,"Yasmine Dudoit, Paris, France","https://ClinicalTrials.gov/show/NCT04402905"
286,"SINUS WASH Pilot Study in Adults Testing Positive for COVID-19","Recruiting","No Results Available","Coronavirus Infection","Drug: Povidone-Iodine|Drug: Normal saline","Hampshire Hospitals NHS Foundation Trust, Basingstoke, Hampshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04393792"
287,"Serologic Testing of Household Contacts of Confirmed Cases of COVID-19","Recruiting","No Results Available","Coronavirus Infection",,"Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico","https://ClinicalTrials.gov/show/NCT04393142"
288,"Epidemiological Study of the Covid-19 Presto Test","Not yet recruiting","No Results Available","Coronavirus Infection","Diagnostic Test: Covid-19 presto test","Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France","https://ClinicalTrials.gov/show/NCT04387968"
289,"Efficacy and Tolerability of Hydroxychloroquine in Adult Patients With COVID-19","Recruiting","No Results Available","Coronavirus Infection","Drug: Hydroxychloroquine Sulfate 200 MG [Plaquenil]","Taoyuan General Hospital, Ministry of Health and Welfare, Taoyuan City, Taiwan","https://ClinicalTrials.gov/show/NCT04384380"
290,"C-reactive Protein Levels Among Individuals With COVID-19","Not yet recruiting","No Results Available","Coronavirus Infection","Diagnostic Test: C-reactive protein","The Parker Institute, Frederiksberg Hospital, Copenhagen, Denmark","https://ClinicalTrials.gov/show/NCT04373798"
291,"A Randomised Controlled Trial of Early Intervention in COVID-19: Favipiravir Verses HydroxycholorquiNe & Azithromycin & Zinc vErsEs Standard CaRe","Not yet recruiting","No Results Available","Coronavirus Infection","Drug: Favipiravir|Drug: Hydroxychloroquine|Drug: Azithromycin|Drug: Zinc Sulfate|Other: Standard of care management","Chelsea and Westminster Hospital, London, United Kingdom|West Middlesex University Hospital, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04373733"
292,"Hungarian COVID-19 Epidemiological Research","Recruiting","No Results Available","Coronavirus Infection",,"Semmelweis University - Heart and Vascular Center, Budapest, Hungary|University of Debrecen, Debrecen, Hungary|University of Pecs, Pecs, Hungary|University of Szeged, Szeged, Hungary","https://ClinicalTrials.gov/show/NCT04370067"
293,"COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19","Recruiting","No Results Available","Coronavirus Infection","Drug: Colchicine|Drug: Usual Care","Maimonides Medical Center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT04363437"
294,"Sequencing and Tracking of Phylogeny in COVID-19 Study","Recruiting","No Results Available","Coronavirus Infection",,"Portsmouth Hospitals NHS Trust, Queen Alexandra Hospital, Portsmouth, Hampshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04359849"
295,"Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19","Recruiting","No Results Available","Coronavirus Infection","Other: No intervention","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04343898"
296,"Hydroxychloroquine vs Nitazoxanide in Patients With COVID-19","Recruiting","No Results Available","Coronavirus Infection","Drug: Nitazoxanide 500 MG|Drug: Hydroxychloroquine","Materno-Perinatal Hospital ""Mónica Pretelini"", Toluca, Mexico","https://ClinicalTrials.gov/show/NCT04341493"
297,"Gerontological Telemonitoring of Older Adults Living in Nursing Homes With COVID-19 Disease","Not yet recruiting","No Results Available","Coronavirus Infection","Other: telehealth applications",,"https://ClinicalTrials.gov/show/NCT04337788"
298,"Hydroxychloroquine in Outpatient Adults With COVID-19","Suspended","No Results Available","Coronavirus Infection","Drug: Hydroxychloroquine SAR321068|Drug: Placebo","Investigational Site Number 8400001, Boston, Massachusetts, United States|Investigational Site Number 0561001, Bruxelles, Belgium|Investigational Site Number 0561002, Lodelinsart, Belgium|Investigational Site Number 2501001, Bordeaux Cedex, France|Investigational Site Number 2501002, Paris, France|Investigational Site Number 5281001, Groningen, Netherlands|Investigational Site Number 5281002, Harderwijk, Netherlands","https://ClinicalTrials.gov/show/NCT04333654"
299,"Clinical Evaluation of Cordio Application in Adult COVID-19 Virus Positive Patients","Not yet recruiting","No Results Available","Coronavirus Infection","Device: Cordio App",,"https://ClinicalTrials.gov/show/NCT04325048"
300,"sFlt1: a Biomarker of Organ Dysfunction in Critically-ill Patients With COVID-19?","Recruiting","No Results Available","CORONAVIRUS INFECTIONS","Other: measurement of circulating sFlt1 concentration","Chu Reims, Reims, France","https://ClinicalTrials.gov/show/NCT04394195"
301,"Survey of Satisfaction on Traditional Chinese Medicine Jing-Guan-Fang (JGF) for COVID-19 Prevention","Recruiting","No Results Available","Corona Virus Infection",,"Branch of Chinese Medicine, Taipei City Hospital, Taipei, Taiwan|Branch of Linsen Chinese Medicine and Kunming, Taipei City Hospital, Taipei, Taiwan|Taipei City Hospital, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT04388644"
302,"Demographics and Outcomes of COVID 19 in Pregnancy at a Community Based Hospital","Not yet recruiting","No Results Available","Corona Virus Infection","Other: COVID positive via testing",,"https://ClinicalTrials.gov/show/NCT04385914"
303,"Covid-19 Triage Using Camera-based AI","Not yet recruiting","No Results Available","Coronavirus Infections","Device: RIA-device (Remote Investigation and Assessment)","Östra Sjukhuset, Gothenburg, Sweden","https://ClinicalTrials.gov/show/NCT04383457"
304,"Haemoglobin Concentration on COVID-19","Recruiting","No Results Available","Corona Virus Infection","Other: File scanning","Konya Training and Research Hospital, Konya, Turkey","https://ClinicalTrials.gov/show/NCT04377607"
305,"Hydroxychloroquine to Prevent COVID-19 Disease Amongst Healthcare Workers","Not yet recruiting","No Results Available","Corona Virus Infection","Drug: Apo-Hydroxychloroquine|Drug: Matched Placebo","St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04371523"
306,"Awake Prone Position in Hypoxemic Patients With Coronavirus Disease 19 (COVI-PRONE): A Randomized Clinical Trial","Not yet recruiting","No Results Available","Corona Virus Infection","Procedure: Awake Proning","St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04350723"
